Calculations of gaseous and particulate emissions from German agriculture 1990 - 2022: Input data and emission results;10.3220/DATA20240219164429-0
OPVanno: Orthopoxvirus annotation and assembly pipeline;10.5281/zenodo.10784666
Dataset: Egg authentication using stable isotopes;10.25826/Data20240229-152143-0
Agricultural land use (raster) : National-scale crop type maps for Germany from combined time series of Sentinel-1, Sentinel-2 and Landsat data (2022);10.5281/zenodo.10617623
Agricultural land use (raster) : National-scale crop type maps for Germany from combined time series of Sentinel-1, Sentinel-2 and Landsat data (2022);10.5281/zenodo.10617623
Agricultural land use (raster) : National-scale crop type maps for Germany from combined time series of Sentinel-1, Sentinel-2 and Landsat data (2017 to 2021);10.5281/zenodo.10617623
Agricultural land use (vector) : National-scale crop type maps for Germany from combined time series of Sentinel-1, Sentinel-2 and Landsat data (2017 to 2021);10.5281/zenodo.10619783
Agricultural land use (vector) : National-scale crop type maps for Germany from combined time series of Sentinel-1, Sentinel-2 and Landsat data (2022);10.5281/zenodo.10619783
Dataset: Tabellenanhang Handbuch N-Gesamtbilanz Bilanzjahr 2019, Handbuch, 2. überarbeitete Fassung;10.5073/20240125-113803-0
Grassland mowing events across Germany detected from combined Sentinel-2 and Landsat time series for the years 2017 - 2021;10.5281/zenodo.10609590
Grassland mowing events across Germany detected from combined Sentinel-2 and Landsat time series for the year 2022;10.5281/zenodo.10609590
Perenniporia meridionalis genomic DNA sequence contains ITS1, 5.8S rRNA gene, ITS2;10.1007/s00253-024-13089-3
Perenniporia meridionalis genomic DNA sequence contains ITS1, 5.8S rRNA gene, ITS2;10.1007/s00253-024-13089-3
Perenniporia meridionalis genomic DNA sequence contains ITS1, 5.8S rRNA gene, ITS2;10.1007/s00253-024-13089-3
ITS sequences from Perenniporia meridionalis;10.1007/s00253-024-13089-3
Perenniporia meridionalis genomic DNA sequence contains ITS1, 5.8S rRNA gene, ITS2;10.1007/s00253-024-13089-3
Perenniporia meridionalis genomic DNA sequence contains ITS1, 5.8S rRNA gene, ITS2;10.1007/s00253-024-13089-3
Data set: blank values from heubach dustmeter-testing sugar beets, version 2 (correction);10.5073/20240115-165905-0
Dataset: Identifying environmental factors affecting the microbial community composition on outdoor structural timber;10.3220/DATA20240219102640-0
Referenzdaten aus dem Projekt FNEWS;10.3220/DATA20240111153336-0
FNEWS-Jahresprodukte 2018 bis 2022;10.3220/DATA20240307175924-0
Grassland-use intensity maps for Switzerland;10.16904/envidat.428
Sentinel-2 machine learning dataset for tree species classification in Germany;10.3220/DATA20240402122351-0
Microsatellite/SSR dataset: pomological and molecular characterization of apple cultivars (Malus × domestica Borkh.) of the German Fruit Genebank;10.5073/20231220-114634-0
sorcering: Soil ORganic Carbon & CN Ratio drIven Nitrogen modellinG framework;10.3220/DATA20240105170154-0
Fungal and Bacterial Diversity of exterior construction timber;10.1007/s00253-024-13089-3
Data set: blank values from heubach dustmeter-testing maize, barley and onion;10.5073/20231127-132157-0
Data set: blank values from heubach dustmeter-testing wheat;10.5073/20231127-094029-0
Dataset: Risk assessment requires several bee species to address species-specific sensitivity to insecticides at field-realistic concentrations;10.5073/20231124-160110-0
Data set: blank values from heubach dustmeter-testing sugar beets, version 1 (correction);10.5073/20231122-114346-0
Crop yields and area in Germany from 1979 to 2021 at a harmonized district-level;10.3220/DATA20231117103252-0
Dataset about dermal exposure measurements on a life like cow dummy with the collector Tyvek and the fluorescent dye pyranine;10.5073/20231101-103121-0
Video recording of the over the cow scenario for estimating dermal exposures during the application of a urease inhibitor;10.5073/20231101-110657-0
Addition of soluble fiber to standard purified diets is important for gut morphology and microbiome in mice;
Data set: Comparison of two different experimental environments for resistance screenings for leafhopper-transmitted wheat dwarf virus in wheat;10.5073/20231020-150935-0
Data set: blank values from heubach dustmeter-testing sugar beets;10.5073/20230822-113751-0
Addition of soluble fiber to standard purified diets is important for gut morphology and microbiome in mice;10.25826/Data20230821-143408-0
[Dataset] : Genotyping of European Toxoplasma gondii strains by a new high-resolution next-generation sequencing-based method;10.5281/zenodo.8248524
Genotype differentiation of highly pathogenic avian influenza viruses (HPAIV) of the goose/Guangdong lineage in Germany - Derivation and deployment of reference sequences;10.5281/zenodo.8233814
Dataset for a systematic literature review on drivers of forest area development;10.3220/DATA20231113122143-0
Characterization of silicium dioxide (SiO2) nanoparticles in E 551-containing instant coffee products by Scanning Electron Microscopy (SEM) combined with Energy-dispersive X-ray spectroscopy (EDX);10.25826/Data20230727-143937-0
